Skills
AWS
QuantCube
Java
Head of Technology
Project Management
Program Manager
PMI PMP
Business Analysis
Hadoop
Agile
Kanban
PowerBI
Team Leadership
Motivating
Autocad Design
MDM
SAS SQL
Moody's Analytics RiskOrigins
Australian Prudential Regulation Authority
Architect
Azure
